official,plays,missed,raw_miss_rate,coef_shrunk,perm_p,fdr_q
Marat Kogut,409,95,0.23227383863080683,0.01586769804673299,0.9181636726546906,0.9880239520958083
Mark Lindsay,468,107,0.22863247863247863,0.03292705177296332,0.7904191616766467,0.9570858283433135
Mousa Dagher,346,72,0.20809248554913296,0.03356337262066239,0.7844311377245509,0.9570858283433135
Lauren Holtkamp,130,30,0.23076923076923078,0.03896628716828117,0.8363273453093812,0.9623492740546306
Matt Myers,334,72,0.2155688622754491,0.03992095409851777,0.7884231536926147,0.9570858283433135
Marc Davis,479,116,0.24217118997912318,0.041683136014337784,0.7345309381237525,0.9570858283433135
Simone Jelks,128,27,0.2109375,0.048196738305190875,0.8083832335329342,0.9570858283433135
Kevin Cutler,357,86,0.24089635854341737,0.058360359334876634,0.6726546906187625,0.9570858283433135
John Butler,307,72,0.23452768729641693,0.059137550624848004,0.6706586826347305,0.9570858283433135
Sha'Rae Mitchell,92,19,0.20652173913043478,0.06470936193858433,0.7844311377245509,0.9570858283433135
Brent Barnaky,377,88,0.23342175066312998,0.06583592257555357,0.6007984031936128,0.9570858283433135
Eric Dalen,361,85,0.23545706371191136,0.07737731099588809,0.5568862275449101,0.9570858283433135
Tre Maddox,339,82,0.24188790560471976,0.0811702716515238,0.5469061876247505,0.9570858283433135
Jacyn Goble,429,103,0.2400932400932401,0.08366131394443431,0.5588822355289421,0.9570858283433135
Brian Forte,517,124,0.23984526112185686,0.08574713982943796,0.500998003992016,0.9570858283433135
JB DeRosa,503,124,0.24652087475149106,0.1040805419789263,0.36726546906187624,0.9570858283433135
Derrick Collins,300,74,0.24666666666666667,0.10703430741765622,0.4031936127744511,0.9570858283433135
Dannica Mosher,104,27,0.25961538461538464,0.10927052539333225,0.5748502994011976,0.9570858283433135
Courtney Kirkland,449,119,0.2650334075723831,0.11192688448093498,0.3532934131736527,0.9570858283433135
Scott Twardoski,439,106,0.24145785876993167,0.11917586841717627,0.3652694610778443,0.9570858283433135
Mark Ayotte,137,39,0.2846715328467153,0.1205679496317641,0.5029940119760479,0.9570858283433135
Pat O'Connell,74,14,0.1891891891891892,0.12497472797851679,0.688622754491018,0.9570858283433135
Danielle Scott,203,42,0.20689655172413793,0.17045232681200198,0.3532934131736527,0.9570858283433135
Brandon Adair,322,91,0.2826086956521739,0.1990294709253118,0.1656686626746507,0.8185980979218034
Mike Callahan,61,24,0.39344262295081966,0.2398543818150734,0.3712574850299401,0.9570858283433135
